Number of features,Features,CV accuracy,CV F1,CV F1 std,Combined score
3,"X2, X4, X5",0.524,0.6591636440631943,0.051568538832239996,0.5915818220315971
4,"X2, X3, X4, X5",0.5219999999999999,0.660626906051484,0.053059063110085715,0.591313453025742
3,"X2, X3, X4",0.518,0.6634125050988231,0.05356307702381635,0.5907062525494116
3,"X3, X5, X6",0.52,0.661018116000096,0.058444737211819635,0.590509058000048
3,"X1, X2, X5",0.5219999999999999,0.6573054552089035,0.0621103905894578,0.5896527276044516
3,"X2, X4, X6",0.5160000000000001,0.6612375963343705,0.061343524986748305,0.5886187981671853
3,"X4, X5, X6",0.52,0.6571882253288259,0.056955330592459094,0.588594112664413
4,"X1, X2, X3, X4",0.528,0.644957661934888,0.09921681954979641,0.586478830967444
4,"X1, X2, X3, X5",0.518,0.6518395349661251,0.06741115709990575,0.5849197674830626
2,"X2, X6",0.5100000000000001,0.6591657232315743,0.06975240574124417,0.5845828616157872
3,"X3, X4, X6",0.514,0.6534453934480631,0.05087896576287065,0.5837226967240315
3,"X1, X2, X4",0.524,0.6397436553259983,0.10110808636109196,0.5818718276629992
4,"X2, X4, X5, X6",0.51,0.6500516041400308,0.05735655470666798,0.5800258020700154
4,"X2, X3, X5, X6",0.508,0.6496443015957065,0.06873911313762107,0.5788221507978533
4,"X1, X2, X4, X5",0.52,0.6375581021787918,0.0887248701568251,0.578779051089396
1,X1,0.5280000000000001,0.6294019348159748,0.09661854717683714,0.5787009674079875
2,"X1, X4",0.5319999999999999,0.6232946399846291,0.10259478380936293,0.5776473199923144
4,"X3, X4, X5, X6",0.508,0.6469230658765697,0.05644485522363599,0.5774615329382848
3,"X1, X3, X5",0.518,0.6358142777534616,0.09583309805769043,0.5769071388767308
4,"X1, X3, X4, X5",0.52,0.625655135071071,0.09843084629350356,0.5728275675355354
2,"X1, X5",0.512,0.6335446947317915,0.0826722208907707,0.5727723473658958
5,"X2, X3, X4, X5, X6",0.504,0.6401436282449582,0.06192344420301833,0.5720718141224791
5,"X1, X2, X3, X4, X5",0.51,0.6321642999802358,0.08759524488999997,0.571082149990118
4,"X2, X3, X4, X6",0.4960000000000001,0.6399327162682001,0.06646214164477178,0.5679663581341001
2,"X3, X6",0.49599999999999994,0.635915477658748,0.06879539500452299,0.565957738829374
3,"X1, X4, X5",0.5160000000000001,0.6094183215325547,0.0885737647940531,0.5627091607662774
2,"X2, X3",0.49200000000000005,0.6276649990703286,0.09842636797886362,0.5598324995351643
3,"X2, X3, X6",0.47600000000000003,0.6189845739149411,0.08571724504108455,0.5474922869574705
