Model,Accuracy mean,Accuracy std,Precision mean,Recall mean,F1 mean,F1 std
Gradient Boosting,0.541,0.10084145972763385,0.5805930915489739,0.6236363636363637,0.5951751087627517,0.09897318140515646
Logistic Regression,0.549,0.1036773842262622,0.5939141969141969,0.5963636363636363,0.5882271281372641,0.1065582104655656
Random Forest,0.541,0.0920271699010678,0.587513032718915,0.5872727272727272,0.580140364678122,0.09495091757365606
Support Vector Machine,0.525,0.08499999999999999,0.5673855311355311,0.5636363636363636,0.5565694936951096,0.11063480514273603
